.The Arcane Trickster
[options="header",cols="1,1,1,1,1,4,4"]
|=====
| Level | Base Attack Bonus | Fort Save | Ref Save | Will Save | Special | Spells Per Day
| 1st | +0 | +0 | +2 | +2 | Ranged legerdemain 1/day | +1 level of existing class
| 2nd | +1 | +0 | +3 | +3 | Sneak attack +1d6 | +1 level of existing class
| 3rd | +1 | +1 | +3 | +3 | Impromptu sneak attack 1/day | +1 level of existing class
| 4th | +2 | +1 | +4 | +4 | Sneak attack +2d6 | +1 level of existing class
| 5th | +2 | +1 | +4 | +4 | Ranged legerdemain 2/day | +1 level of existing class
| 6th | +3 | +2 | +5 | +5 | Sneak attack +3d6 | +1 level of existing class
| 7th | +3 | +2 | +5 | +5 | Impromptu sneak attack 2/day | +1 level of existing class
| 8th | +4 | +2 | +6 | +6 | Sneak attack +4d6 | +1 level of existing class
| 9th | +4 | +3 | +6 | +6 | Ranged legerdemain 3/day | +1 level of existing class
| 10th | +5 | +3 | +7 | +7 | Sneak attack +5d6 | +1 level of existing class
|=====
