.The Fighter
[options="header"]
|=====
| Level | Base Attack Bonus | Fort Save | Ref Save | Will Save | Special
| 1st | +1 | +2 | +0 | +0 | Bonus feat
| 2nd | +2 | +3 | +0 | +0 | Bonus feat
| 3rd | +3 | +3 | +1 | +1 | 
| 4th | +4 | +4 | +1 | +1 | Bonus feat
| 5th | +5 | +4 | +1 | +1 | 
| 6th | +6/+1 | +5 | +2 | +2 | Bonus feat
| 7th | +7/+2 | +5 | +2 | +2 | 
| 8th | +8/+3 | +6 | +2 | +2 | Bonus feat
| 9th | +9/+4 | +6 | +3 | +3 | 
| 10th | +10/+5 | +7 | +3 | +3 | Bonus feat
| 11th | +11/+6/+1 | +7 | +3 | +3 | 
| 12th | +12/+7/+2 | +8 | +4 | +4 | Bonus feat
| 13th | +13/+8/+3 | +8 | +4 | +4 | 
| 14th | +14/+9/+4 | +9 | +4 | +4 | Bonus feat
| 15th | +15/+10/+5 | +9 | +5 | +5 | 
| 16th | +16/+11/+6/+1 | +10 | +5 | +5 | Bonus feat
| 17th | +17/+12/+7/+2 | +10 | +5 | +5 | 
| 18th | +18/+13/+8/+3 | +11 | +6 | +6 | Bonus feat
| 19th | +19/+14/+9/+4 | +11 | +6 | +6 | 
| 20th | +20/+15/+10/+5 | +12 | +6 | +6 | Bonus feat
|=====
