.The Ranger
[options="header",cols="2,6,2,2,2,10,1,1,1,1"]
|=====
| Level | Base Attack Bonus | Fort Save | Ref Save | Will Save | Special | 1 | 2 | 3 | 4
| 1st | +1 | +2 | +2 | +0 | 1st favored enemy, Track, wild empathy | — | — | — | —
| 2nd | +2 | +3 | +3 | +0 | Combat style | — | — | — | —
| 3rd | +3 | +3 | +3 | +1 | Endurance | — | — | — | —
| 4th | +4 | +4 | +4 | +1 | Animal companion | 0 | — | — | —
| 5th | +5 | +4 | +4 | +1 | 2nd favored enemy | 0 | — | — | —
| 6th | +6/+1 | +5 | +5 | +2 | Improved combat style | 1 | — | — | —
| 7th | +7/+2 | +5 | +5 | +2 | Woodland stride | 1 | — | — | —
| 8th | +8/+3 | +6 | +6 | +2 | Swift tracker | 1 | 0 | — | —
| 9th | +9/+4 | +6 | +6 | +3 | Evasion | 1 | 0 | — | —
| 10th | +10/+5 | +7 | +7 | +3 | 3rd favored enemy | 1 | 1 | — | —
| 11th | +11/+6/+1 | +7 | +7 | +3 | Combat style mastery | 1 | 1 | 0 | —
| 12th | +12/+7/+2 | +8 | +8 | +4 |  | 1 | 1 | 1 | —
| 13th | +13/+8/+3 | +8 | +8 | +4 | Camouflage | 1 | 1 | 1 | —
| 14th | +14/+9/+4 | +9 | +9 | +4 |  | 2 | 1 | 1 | 0
| 15th | +15/+10/+5 | +9 | +9 | +5 | 4th favored enemy | 2 | 1 | 1 | 1
| 16th | +16/+11/+6/+1 | +10 | +10 | +5 |  | 2 | 2 | 1 | 1
| 17th | +17/+12/+7/+2 | +10 | +10 | +5 | Hide in plain sight | 2 | 2 | 2 | 1
| 18th | +18/+13/+8/+3 | +11 | +11 | +6 |  | 3 | 2 | 2 | 1
| 19th | +19/+14/+9/+4 | +11 | +11 | +6 |  | 3 | 3 | 3 | 2
| 20th | +20/+15/+10/+5 | +12 | +12 | +6 | 5th favored enemy | 3 | 3 | 3 | 3
|======
