.The Sorcerer
[options="header",cols="2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1"]
|=====
| Level | Base Attack Bonus | Fort Save | Ref Save | Will Save | Special | 0 | 1st | 2nd | 3rd | 4th | 5th | 6th | 7th | 8th | 9th
| 1st | +0 | +0 | +0 | +2 | Summon familiar | 5 | 3 | — | — | — | — | — | — | — | —
| 2nd | +1 | +0 | +0 | +3 |  | 6 | 4 | — | — | — | — | — | — | — | —
| 3rd | +1 | +1 | +1 | +3 |  | 6 | 5 | — | — | — | — | — | — | — | —
| 4th | +2 | +1 | +1 | +4 |  | 6 | 6 | 3 | — | — | — | — | — | — | —
| 5th | +2 | +1 | +1 | +4 |  | 6 | 6 | 4 | — | — | — | — | — | — | —
| 6th | +3 | +2 | +2 | +5 |  | 6 | 6 | 5 | 3 | — | — | — | — | — | —
| 7th | +3 | +2 | +2 | +5 |  | 6 | 6 | 6 | 4 | — | — | — | — | — | —
| 8th | +4 | +2 | +2 | +6 |  | 6 | 6 | 6 | 5 | 3 | — | — | — | — | —
| 9th | +4 | +3 | +3 | +6 |  | 6 | 6 | 6 | 6 | 4 | — | — | — | — | —
| 10th | +5 | +3 | +3 | +7 |  | 6 | 6 | 6 | 6 | 5 | 3 | — | — | — | —
| 11th | +5 | +3 | +3 | +7 |  | 6 | 6 | 6 | 6 | 6 | 4 | — | — | — | —
| 12th | +6/+1 | +4 | +4 | +8 |  | 6 | 6 | 6 | 6 | 6 | 5 | 3 | — | — | —
| 13th | +6/+1 | +4 | +4 | +8 |  | 6 | 6 | 6 | 6 | 6 | 6 | 4 | — | — | —
| 14th | +7/+2 | +4 | +4 | +9 |  | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 3 | — | —
| 15th | +7/+2 | +5 | +5 | +9 |  | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 4 | — | —
| 16th | +8/+3 | +5 | +5 | +10 |  | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 3 | —
| 17th | +8/+3 | +5 | +5 | +10 |  | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 4 | —
| 18th | +9/+4 | +6 | +6 | +11 |  | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 5 | 3
| 19th | +9/+4 | +6 | +6 | +11 |  | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 4
| 20th | +10/+5 | +6 | +6 | +12 |  | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6 | 6
|=====
